stop_code,stop_name,route_short_name,route_id,agency_id,agency_name
17002,מודיעין מרכז,,32493,2,רכבת ישראל
17000,פאתי מודיעין,,32493,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32493,2,רכבת ישראל
17002,מודיעין מרכז,,32495,2,רכבת ישראל
17000,פאתי מודיעין,,32495,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32495,2,רכבת ישראל
17002,מודיעין מרכז,,32489,2,רכבת ישראל
17000,פאתי מודיעין,,32489,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32489,2,רכבת ישראל
17002,מודיעין מרכז,,32491,2,רכבת ישראל
17000,פאתי מודיעין,,32491,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32491,2,רכבת ישראל
17002,מודיעין מרכז,,32481,2,רכבת ישראל
17000,פאתי מודיעין,,32481,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32481,2,רכבת ישראל
17002,מודיעין מרכז,,32483,2,רכבת ישראל
17000,פאתי מודיעין,,32483,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32483,2,רכבת ישראל
17002,מודיעין מרכז,,32485,2,רכבת ישראל
17000,פאתי מודיעין,,32485,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32485,2,רכבת ישראל
17002,מודיעין מרכז,,32487,2,רכבת ישראל
17000,פאתי מודיעין,,32487,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32487,2,רכבת ישראל
17002,מודיעין מרכז,,38501,2,רכבת ישראל
17000,פאתי מודיעין,,38501,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,38501,2,רכבת ישראל
17002,מודיעין מרכז,,32575,2,רכבת ישראל
17000,פאתי מודיעין,,32575,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32575,2,רכבת ישראל
17002,מודיעין מרכז,,44040,2,רכבת ישראל
17002,מודיעין מרכז,,44037,2,רכבת ישראל
17002,מודיעין מרכז,,44038,2,רכבת ישראל
17002,מודיעין מרכז,,44057,2,רכבת ישראל
17002,מודיעין מרכז,,44058,2,רכבת ישראל
17002,מודיעין מרכז,,44059,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,34239,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,37273,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,37275,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,37277,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,37278,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,30275,2,רכבת ישראל
17002,מודיעין מרכז,,44031,2,רכבת ישראל
17002,מודיעין מרכז,,44034,2,רכבת ישראל
17002,מודיעין מרכז,,44033,2,רכבת ישראל
17002,מודיעין מרכז,,44032,2,רכבת ישראל
17002,מודיעין מרכז,,44035,2,רכבת ישראל
17002,מודיעין מרכז,,44036,2,רכבת ישראל
17074,בית שמש,,43344,2,רכבת ישראל
17002,מודיעין מרכז,,32434,2,רכבת ישראל
17000,פאתי מודיעין,,32434,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32434,2,רכבת ישראל
17074,בית שמש,,34273,2,רכבת ישראל
17074,בית שמש,,34272,2,רכבת ישראל
17074,בית שמש,,34271,2,רכבת ישראל
17074,בית שמש,,36367,2,רכבת ישראל
17074,בית שמש,,38498,2,רכבת ישראל
17074,בית שמש,,36368,2,רכבת ישראל
17074,בית שמש,,38499,2,רכבת ישראל
17074,בית שמש,,44392,2,רכבת ישראל
17074,בית שמש,,38558,2,רכבת ישראל
17074,בית שמש,,44417,2,רכבת ישראל
17074,בית שמש,,34299,2,רכבת ישראל
17074,בית שמש,,38556,2,רכבת ישראל
17074,בית שמש,,34298,2,רכבת ישראל
17074,בית שמש,,34297,2,רכבת ישראל
17000,פאתי מודיעין,,44409,2,רכבת ישראל
17002,מודיעין מרכז,,44409,2,רכבת ישראל
17000,פאתי מודיעין,,44411,2,רכבת ישראל
17002,מודיעין מרכז,,44411,2,רכבת ישראל
17000,פאתי מודיעין,,44413,2,רכבת ישראל
17002,מודיעין מרכז,,44413,2,רכבת ישראל
17002,מודיעין מרכז,,44414,2,רכבת ישראל
17000,פאתי מודיעין,,44414,2,רכבת ישראל
17000,פאתי מודיעין,,44415,2,רכבת ישראל
17002,מודיעין מרכז,,44415,2,רכבת ישראל
17002,מודיעין מרכז,,44399,2,רכבת ישראל
17002,מודיעין מרכז,,32526,2,רכבת ישראל
17000,פאתי מודיעין,,32526,2,רכבת ישראל
17118,ירושלים/יצחק נבון,,32526,2,רכבת ישראל
17002,מודיעין מרכז,,38560,2,רכבת ישראל
